zagreb|Zagreb, Croatia
innsbruck|Innsbruck, Austria
bilbao|Bilbao, Spain
kazan|Kazan, Russia
vaduz|Vaduz, Liechtenstein
piraeus|Piraeus, Greece
exeter|Exeter, England
caligari|Caligari, Italy
southampton|Southampton, England
zamora|Zamora, Spain
le+mans|Le Mans, France
weimar|Weimar, Germany
le+havre|Le Havre, France
antwerp|Antwerp, Belgium
ludwigshafen|Ludwigshafen, Germany
linz|Linz, Austria
brno|Brno, Czeck Republic
belfast|Belfast, England
vladivostok|Vladivostok, Russia
pecs|Pecs, Hungary
hamilton|Hamilton, Scotland
jerez+de+la+frontera|Jerez de la Frontera, Spain
stuttgart|Stuttgart, Germany
monaco|Monaco
izmir|Izmir, Turkey
arezzo|Arezzo, Italy
belgrade|Belgrade, Serbia
calais|Calais, France
telford|Telford, England
perugia|Perugia, Italy
stavanger|Stavanger, Norway
bender|Bender, Moldova
split|Split, Croatia
utrecht|Utrecht, Netherlands
murcia|Murcia, Spain
ostrava|Ostrava, Czech Republic
crawley|Crawley, England
lorca|Lorca, Spain
rugby|Rugby, England
augsburg|Augsburg, Germany
woking|Woking, England
burgos|Burgos, Spain
antalya|Antalya, Turkey
barry|Barry, Wales
norwich|Norwich, England
carlisle|Carlisle, England
gloucester|Gloucester, England
skopje|Skopje, Macedonia
riga|Riga, Latvia
bonn|Bonn, Germany
basel|Basel, Switzerland
liverpool|Liverpool, England
rijeka|Rijeka, Croatia
bari|Bari, Italy
alicante|Alicante, Spain
katowice|Katowice, Poland
brentwood|Brentwood, England
bury|Bury, England
viareggio|Viareggio, Italy
mainz|Mainz, Germany
turku|Turku, Finland
geneva|Geneva, Switzerland
malaga|Malaga, Spain
maribor|Maribor, Slovenia
dusseldorf|Dusseldorf, Germany
fier|Fier, Albania
galway|Galway, Ireland
thessaloniki|Thessaloniki, Greece
varna|Varna, Bulgaria
maastricht|Maastricht, Netherlands
patra|Patra, Greece
ruse|Ruse, Bulgaria
manchester|Manchester, England
bognor+regis|Bognor Regis, England
odense|Odense, Denmark
worthing|Worthing, England
vatican+city|Vatican City
dortmund|Dortmund, Germany
poitiers|Poitiers, France
coventry|Coventry, England
wroclaw|Wroclaw, Poland
hradec+kralove|Hradec Kralove, Czech Republic
ludwigsburg|Ludwigsburg, Germany
burgas|Burgas, Bulgaria
tetovo|Tetovo, Macedonia
bursa|Bursa, Turkey
slough|Slough, England
bristol|Bristol, England
dundee|Dundee, Scotland
graz|Graz, Austria
zurich|Zurich, Switzerland
prato|Prato, Italy
malmo|Malmo, Sweden
strasbourg|Strasbourg, France
bordeaux|Bordeaux, France
lincoln|Lincoln, England
heraklion|Heraklion, Greece
trondheim|Trondheim, Norway
lille|Lille, France
leicester|Leicester, England
bucharest|Bucharest, Romania
pula|Pula, Croatia
toulouse|Toulouse, France
aachen|Aachen, Germany
cardiff|Cardiff, Wales
scarborough|Scarborough, England
seville|Seville, Spain
nancy|Nancy, France
andorra+la+vella|Andorra la Vella, Andorra
ancona|Ancona, Italy
moscow|Moscow, Russia
lausanne|Lausanne, Switzerland
turin|Turin, Italy
cannes|Cannes, France
falkirk|Falkirk, Scotland
cork|Cork, Ireland
derby|Derby, England
